Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,HADOOP-696,12355086,TestTextInputFormat fails on some platforms due to non-determinism in format.getSplits(),sameerp,sameerp,Minor,Closed,Fixed,08/Nov/06 22:18,01/Dec/06 22:43,
Bug,HADOOP-695,12355083,Unexpected NPE from the next method of StreamLineRecordReader fails map/reduce jobs,hairong,hairong,Major,Closed,Fixed,08/Nov/06 21:34,08/Jul/09 17:05,
Bug,HADOOP-694,12355068,jobtracker expireluanching tasks throws out Nullpointer exceptions,mahadev,mahadev,Minor,Closed,Fixed,08/Nov/06 19:13,01/Dec/06 22:43,
Bug,HADOOP-690,12355020,NPE in jobcontrol,omalley,johanoskarsson,Major,Closed,Fixed,08/Nov/06 12:15,08/Jul/09 16:52,
Bug,HADOOP-687,12354983,Upgrade to Jetty 6 does not patch bin/hadoop,sameerp,sameerp,Critical,Closed,Fixed,07/Nov/06 23:52,01/Dec/06 22:43,
Bug,HADOOP-683,12354893,bin/hadoop.sh doesn't work for /bin/dash (eg ubuntu 6.10b),,gonzo,Trivial,Closed,Fixed,07/Nov/06 00:51,01/Dec/06 22:43,
Bug,HADOOP-682,12354847,hadoop namenode -format doesnt work anymore if target directory doesnt exist,,sanjay.dahiya,Major,Closed,Fixed,06/Nov/06 14:48,08/Jul/09 16:42,
Bug,HADOOP-673,12354634,the task execution environment should have a current working directory that is task specific,mahadev,omalley,Major,Closed,Fixed,02/Nov/06 23:13,08/Jul/09 16:51,
Bug,HADOOP-672,12354594,dfs shell enhancements,dhruba,yarnon,Minor,Closed,Fixed,02/Nov/06 17:45,08/Jul/09 16:42,
Bug,HADOOP-671,12354498,Distributed cache creates unnecessary symlinks if asked for creating symlinks,mahadev,mahadev,Major,Closed,Fixed,01/Nov/06 23:30,03/Nov/06 22:40,
Bug,HADOOP-669,12354486,Upgrade to trunk causes data loss.,milindb,milindb,Blocker,Closed,Fixed,01/Nov/06 20:12,08/Jul/09 16:41,
Bug,HADOOP-666,12354422,hadoop dfs  does not complain about unknown option,dhruba,dhruba,Minor,Closed,Fixed,01/Nov/06 05:06,08/Jul/09 16:42,
Bug,HADOOP-665,12354421, hadoop -rmr  does NOT process multiple arguments and does not complain,dhruba,dhruba,Minor,Closed,Fixed,01/Nov/06 05:00,08/Jul/09 16:42,
Bug,HADOOP-664,12354414,build doesn't fail if libhdfs test(s) fail,nidaley,nidaley,Minor,Closed,Fixed,01/Nov/06 00:40,03/Nov/06 22:40,
Bug,HADOOP-663,12354413,ant test is failing,mahadev,mahadev,Major,Closed,Fixed,01/Nov/06 00:17,03/Nov/06 22:40,
Bug,HADOOP-662,12354412,"dfs -ls sometime prints ""Found xxx items""; sometimes it does not print that string",jianglei,dhruba,Minor,Closed,Fixed,01/Nov/06 00:13,08/Jul/09 16:41,
Bug,HADOOP-658,12354390,source headers must conform to new Apache guidelines,cutting,cutting,Major,Closed,Fixed,31/Oct/06 18:22,03/Nov/06 22:40,31/Oct/06 00:00
Bug,HADOOP-654,12354312,jobs fail with some hardware/system failures on a small number of nodes,acmurthy,yarnon,Minor,Closed,Fixed,30/Oct/06 18:47,08/Jul/09 16:51,
Bug,HADOOP-652,12354163,Not all Datastructures are updated when a block is deleted,,rangadi,Major,Closed,Fixed,27/Oct/06 18:49,08/Jul/09 16:42,
Bug,HADOOP-651,12354162,fsck does not handle arguments -blocks and -locations correctly,milindb,milindb,Major,Closed,Fixed,27/Oct/06 18:41,08/Jul/09 16:42,
Bug,HADOOP-650,12354157,bin/hadoop dfs -lsr / is broken,mahadev,mahadev,Minor,Resolved,Fixed,27/Oct/06 17:47,08/Jul/09 16:42,
Bug,HADOOP-649,12354131,Jobs without any map and reduce operations seems to be lost after their execution,omalley,titom,Major,Closed,Fixed,27/Oct/06 11:30,08/Jul/09 16:52,
Bug,HADOOP-646,12354081,"name node server does not load large (> 2^31 bytes) edits file",milindb,ckunz,Critical,Closed,Fixed,26/Oct/06 22:06,08/Jul/09 16:42,
Bug,HADOOP-645,12354074,Map-reduce task does not finish correctly when -reducer NONE is specified,dhruba,dhruba,Major,Closed,Fixed,26/Oct/06 20:34,08/Jul/09 17:05,
Bug,HADOOP-642,12353994,Explicit timeout for ipc.Client,shv,shv,Major,Closed,Fixed,26/Oct/06 01:30,03/Nov/06 22:40,
Bug,HADOOP-641,12353991,Name-node should demand a block report from resurrected data-nodes.,shv,shv,Major,Closed,Fixed,26/Oct/06 01:06,03/Nov/06 22:40,
Bug,HADOOP-639,12353984,"task cleanup messages can get lost, causing task trackers to keep tasks forever",acmurthy,omalley,Major,Closed,Fixed,25/Oct/06 22:01,08/Jul/09 16:51,
Bug,HADOOP-638,12353981,TaskTracker missing synchronization around tasks variable access,nidaley,nidaley,Major,Closed,Fixed,25/Oct/06 21:34,08/Jul/09 16:51,
Bug,HADOOP-637,12353974,ipc.Server has memory leak -- serious issue for namenode server,rangadi,ckunz,Major,Closed,Fixed,25/Oct/06 18:33,01/Dec/06 22:43,
Bug,HADOOP-634,12353879,Test files missing copyright headers,nidaley,nidaley,Trivial,Closed,Fixed,24/Oct/06 18:22,03/Nov/06 22:40,
Bug,HADOOP-633,12353874,if the jobinit thread gets killed the jobtracker keeps running without doing anything.,omalley,mahadev,Minor,Closed,Fixed,24/Oct/06 17:52,08/Jul/09 16:51,
Bug,HADOOP-632,12353869,"dfs -report lists ""missing"" datanodes",rangadi,omalley,Major,Closed,Fixed,24/Oct/06 16:37,08/Jul/09 16:42,
Bug,HADOOP-629,12353802,none of the rpc servers check the protcol name for validity,omalley,omalley,Major,Closed,Fixed,24/Oct/06 05:35,05/Jan/07 23:22,
Bug,HADOOP-628,12353797,hadoop hdfs -cat   replaces some characters with question marks.,wchien,arkady,Major,Closed,Fixed,24/Oct/06 04:28,08/Jul/09 16:42,
Bug,HADOOP-627,12353791,MiniMRCluster missing synchronization,nidaley,nidaley,Major,Closed,Fixed,24/Oct/06 01:02,08/Jul/09 16:51,
